hhid,today,coffee_farm_manager,survey_agreed,woredaname,kebele_def,farm_owner,coop_f,coop_m,edu_wh,edu_hw,gpslatitude_deidentified,gpslongitude_deidentified,farm_area_total,coffeefarm_area_total,num_coffee_fields,ao_ls_7,washed_arabica_production,trainings3,income_from_coffee_mod,coffeetrees
5270231,31-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7415687,38.450406,1,1,1,0,1200,1,>50%,2500
5270232,03-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7426039,38.447457,2,1,2,0,1000,1,<25%,2500
5270233,30-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7421924,38.447945,4.5,3,5,2,3500,1,>50%,7500
5270235,30-Mar-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7413713,38.447133,2,1,2,1,2000,1,>50%,2500
5270236,27-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,National exam + 1 year vocational - Grade 10+1,5.7424089,38.448758,1.5,1,2,0,1500,0,>50%,2500
5270237,30-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,Yes,Elementary - Grade 1-6,High School - Grade 9-10,5.7414042,38.447156,2,2,2,0,2500,0,100%,5000
5270401,18-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,National exam + 1 year vocational - Grade 10+1,5.7299997,38.449406,1.5,1.5,3,2,1500,1,50%,3750
5270402,24-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.730528,38.449742,1.5,1,1,2,750,1,>50%,2500
5270403,26-May-20,Woman (wife),Yes,Kercha,Goromi,Woman (wife),No,,No Education,,5.7438027,38.449154,1,1,1,2,1000,1,>50%,2500
5270404,26-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,National exam + 1 year vocational - Grade 10+1,5.7429787,38.449265,1,1,2,6,1000,1,>50%,2500
5270405,24-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7316243,38.449097,2,2,2,5,2500,1,>50%,5000
5270406,24-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7317382,38.447758,4.5,3,6,20,5000,1,25%,7500
5270407,18-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7322208,38.452443,3,3,3,0,3500,1,100%,7500
5270408,26-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7425396,38.448762,1,1,2,1,1000,1,>50%,2500
5270409,20-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.72885,38.446595,4,4,2,2,5000,1,100%,10000
5270410,24-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7296578,38.444829,1,0.5,1,0,500,1,25%,1250
5270411,26-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,High School - Grade 9-10,National exam + 1 year vocational - Grade 10+1,5.7426378,38.448613,2,2,2,5,2000,1,>50%,5000
5270412,20-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7289535,38.449326,1.5,1.5,2,0,1200,1,50%,3750
5270413,26-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,National exam + 1 year vocational - Grade 10+1,5.7428977,38.449238,1,1,1,4,1000,1,>50%,2500
5270414,18-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7297293,38.447789,1,1,1,0,1200,1,50%,2500
5270415,26-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.742799,38.449284,2,2,2,2,1500,1,>50%,5000
5270416,26-May-20,Woman (wife),Yes,Kercha,Goromi,Both husband and wife equally,Yes,,No Education,,5.7421214,38.449135,2,2,2,6,2500,1,100%,5000
5270417,26-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.742346,38.449643,0.5,0.5,1,0,500,1,50%,1250
5270418,26-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,No Education,5.7424647,38.449483,1,1,1,4,1000,1,>50%,2500
5270419,26-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7423703,38.449681,1,1,1,0,1000,1,50%,2500
5270420,29-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7442013,38.446969,2,2,2,1,2500,1,>25% and <50%,5000
5270421,09-Jun-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.729397,38.451497,3,3,1,0,4500,1,100%,7500
5270422,29-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7442967,38.446923,1,1,1,0,1000,1,>25% and <50%,2500
5270424,29-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7442371,38.446858,1,1,1,1,1000,1,25%,2500
5270425,29-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7439477,38.447106,1,1,1,0,1000,1,>25% and <50%,2500
5270426,06-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7287232,38.448071,1,1,1,0,1250,1,>50%,2500
5270427,06-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Junior Secondary - Grade 7-8,5.7331559,38.452828,1,1,1,0,750,1,>50%,2500
5270428,29-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.743703,38.447136,1,1,1,0,1500,0,25%,2500
5270429,06-May-20,Woman (wife),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7301365,38.450383,1,1,1,0,1500,1,50%,2500
5270430,06-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,High School - Grade 9-10,5.73131,38.44946,1,1,1,0,1300,1,>50%,2500
5270434,28-Apr-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7308766,38.452771,1,1,1,0,1200,1,>50%,2500
5270435,28-Apr-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7288443,38.450066,1,1,1,0,1500,1,100%,2500
5270501,29-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,No Education,5.725022,38.437314,4.5,4,3,3,8000,1,100%,10000
5270502,29-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,No Education,5.7276889,38.436593,2,2,1,1,1700,1,100%,5000
5270503,29-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7270385,38.438939,4.5,4,2,1,4000,1,>50%,10000
5270504,29-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7281477,38.438187,4,3.5,2,2,4000,1,100%,8750
5270505,29-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,High School - Grade 9-10,National exam + 1 year vocational - Grade 10+1,5.7303416,38.438149,2,2,2,1,1500,1,>50%,5000
5270506,29-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7284438,38.435475,1,1,1,0,1300,1,>50%,2500
5270507,25-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,High School - Grade 9-10,No Education,5.7435104,38.449563,1,1,1,0,1000,1,50%,2500
5270508,29-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7278816,38.43837,1,1,1,2,1500,1,100%,2500
5270509,29-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7250744,38.437741,1,1,1,0,500,1,100%,2500
5270510,25-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,No Education,5.7432839,38.449605,2,2,3,2,2000,1,>50%,5000
5270511,25-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7436701,38.449051,1,1,1,2,1000,1,50%,2500
5270512,11-Mar-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7252599,38.445824,1,1,1,0,300,1,100%,2500
5270513,11-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7256614,38.438729,0.5,0.5,1,1,600,1,>50%,1250
5270514,24-May-20,Woman (wife),Yes,Kercha,Goromi,Both husband and wife equally,No,,No Education,,5.7623521,38.46843,1,1,1,4,1000,1,>50%,2500
5270515,25-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.743735,38.449097,1,1,1,0,1000,1,50%,2500
5270516,11-Mar-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7263819,38.438828,0.5,0.5,1,0,500,1,50%,1250
5270517,25-May-20,Woman (wife),Yes,Kercha,Goromi,Woman (wife),No,,No Education,,5.7437493,38.449086,0.5,0.5,1,1,500,1,50%,1250
5270518,15-Jun-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,Yes,No Education,No Education,5.7271267,38.435444,1,1,2,0,1350,1,>50%,2500
5270521,11-Mar-20,Man (husband),Yes,Kercha,Goromi,Man (husband),,Yes,,Elementary - Grade 1-6,5.7264616,38.438374,1,0.5,3,3,1500,1,50%,1250
5270525,15-Jun-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,Yes,No,Elementary - Grade 1-6,No Education,5.7249085,38.438931,2,2,2,2,2550,1,100%,5000
5270526,15-Jun-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7245828,38.434952,1,1,1,0,1100,1,>50%,2500
5270528,15-Jun-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7252509,38.434632,2,2,1,0,1200,0,>50%,5000
5270529,15-Jun-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7224704,38.437752,3,3,1,2,3780,1,>50%,7500
5270530,15-Jun-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,No Education,5.7280375,38.43319,2,2,2,2,1350,0,>50%,5000
5270801,07-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,Basic informal education,5.7398254,38.446354,2,1.75,2,0,2000,1,>50%,4375
5270802,16-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.744002,38.443669,1,1,1,0,1500,1,100%,2500
5270803,07-Apr-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7406646,38.445645,2,2,2,0,2000,1,>50%,5000
5270804,07-Apr-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7410633,38.446847,4,3,4,4,5200,1,50%,7500
5270805,08-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7424823,38.448704,2,2,1,0,1000,1,>50%,5000
5270806,08-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7442166,38.446827,1,1,1,0,1000,1,>50%,2500
5270807,16-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7397315,38.445267,2.5,2,2,0,1500,1,>50%,5000
5270808,09-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7389299,38.445065,2,1.75,2,10,1750,1,>50%,4375
5270809,09-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7400533,38.445805,2,1.75,2,3,2500,1,>50%,4375
5270810,09-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7396561,38.445912,2,2,2,0,2500,1,100%,5000
5270812,09-Apr-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7400972,38.44484,1,0.5,2,0,750,1,>50%,1250
5270813,08-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7388188,38.44513,1,1,1,1,1000,1,>50%,2500
5270814,16-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7425109,38.442769,1,1,1,0,1000,1,>50%,2500
5270815,07-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,Yes,Elementary - Grade 1-6,Elementary - Grade 1-6,5.740358,38.442833,4,3,4,5,3000,1,>50%,7500
5270816,14-Apr-20,Woman (wife),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7410485,38.446839,2,2,1,0,1500,1,100%,5000
5270817,14-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,No,No Education,No Education,5.7407586,38.44339,2,2,2,4,2750,1,>50%,5000
5270818,09-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7404992,38.442647,2,2,2,3,2100,1,100%,5000
5270819,08-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7409278,38.445984,1,1,1,0,1000,1,>50%,2500
5270820,14-Apr-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7401802,38.4464,2,2,2,2,2500,1,100%,5000
5270821,14-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,National exam + 1 year vocational - Grade 10+1,5.7407547,38.443532,2,1.75,2,5,2000,1,>50%,4375
5270822,16-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7384259,38.445706,1,1,1,3,700,1,100%,2500
5270824,14-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7424327,38.442792,2,2,2,0,2000,1,>50%,5000
5270826,08-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.739957,38.446023,1,1,1,0,750,1,>50%,2500
5270828,08-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7442762,38.446843,1,1,1,0,850,0,>50%,2500
5270830,09-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7425138,38.448777,2,2,2,1,1500,1,100%,5000
5270832,09-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7437841,38.449105,1,1,1,0,600,1,>50%,2500
5270901,03-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,Yes,No Education,No Education,5.7325632,38.441216,2,2,2,2,3000,1,>50%,5000
5270903,25-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7332174,38.44236,3,3,3,0,3000,1,>50%,7500
5270904,06-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7308365,38.440121,1,1,1,0,1000,1,>50%,2500
5270905,06-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7336451,38.44587,2,2,2,2,1800,1,>50%,5000
5270906,06-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7341324,38.446423,3,3,3,1,2000,1,50%,7500
5270907,06-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7334224,38.443451,3,3,1,0,3500,1,>50%,7500
5270908,06-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7329575,38.448334,2,2,2,4,2000,1,50%,5000
5270909,06-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7347313,38.442246,4,4,4,5,2000,1,>50%,10000
5270910,08-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7408868,38.44693,3,3,1,1,3000,1,>50%,7500
5270912,08-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7312781,38.442349,2,2,2,4,2000,1,>50%,5000
5270913,16-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.744311,38.446827,1,1,1,1,1000,1,50%,2500
5270915,16-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.733751,38.444947,2,2,2,0,2000,1,>50%,5000
5270916,16-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7336613,38.445302,2,2,2,4,2000,1,>50%,5000
5270917,16-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7442295,38.44685,1,1,1,0,1100,1,50%,2500
5270918,15-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Junior Secondary - Grade 7-8,Junior Secondary - Grade 7-8,5.7363755,38.445988,1,1,1,0,1000,0,50%,2500
5271001,31-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7424313,38.448723,1,1,1,4,1000,1,25%,2500
